ID	Type	Longitude	Latitude
D	d	0	80
S1	f	0	0
C1	c	15.23	-1.55
C2	c	14.73	7.91
C3	c	4.78	-15.52
C4	c	13.96	-9.71
C5	c	-12.56	-0.93
C6	c	-14.88	14.21
C7	c	17.53	14.70
C8	c	6.85	-0.15
C9	c	2.88	-15.94
C10	c	-8.11	-2.97
C11	c	-17.08	-16.86
C12	c	6.74	-8.22
C13	c	-5.22	9.73
C14	c	-3.82	-8.09
C15	c	16.04	-4.63
C16	c	-10.00	-20.00
C17	c	18.83	-19.01
C18	c	19.53	-16.78
C19	c	17.00	-19.90
C20	c	17.03	-16.87
C21	c	-19.20	-20.00
C22	c	-19.99	-16.77
C23	c	-18.00	-19.65
C24	c	-19.93	-1.01
C25	c	-19.00	-9.01
C26	c	-19.99	19.87
C27	c	-19.85	10.02
C28	c	10.08	9.99
C29	c	5.04	19.98
C30	c	19.33	19.40

Pumps availability
5 5 5 5 4 4 4 4 4 4 4 4 4 4
